time,I
960.472,4.88
962.064,5.48
962.263,4.88
3406.378,113.36
3406.4,118.41
3406.598,132.57
3406.796,134.98
3406.996,128.31
3407.194,132.07
3407.393,132.86
3407.591,128.9
3407.79,118.33
3407.988,114.11
3408.186,114.32
3408.384,115.69
3408.583,114.3
3408.781,106.52
3408.98,106.24
3409.178,104.77
3409.376,106.15
3409.575,104.07
3409.776,100.99
3409.977,100.29
3410.177,99.92
3410.37,99.23
3410.573,99.32
3410.768,99.23
3410.967,98.22
3411.166,98.25
3411.367,98.57
3411.559,97.28
3411.763,96.71
3411.955,96.58
3412.155,96.39
3412.356,93.42
3412.554,91.78
